0,0,0
0,1,15
0,2,30
0,3,45
0,4,60
0,5,75
0,6,90
0,7,105
0,8,120
0,9,135
0,10,150
0,11,165
0,12,180
0,13,195
0,14,210
1,0,15
1,1,0
1,2,15
1,3,30
1,4,45
1,5,60
1,6,75
1,7,90
1,8,105
1,9,120
1,10,135
1,11,150
1,12,165
1,13,180
1,14,195
2,0,30
2,1,15
2,2,0
2,3,15
2,4,30
2,5,45
2,6,60
2,7,75
2,8,90
2,9,105
2,10,120
2,11,135
2,12,150
2,13,165
2,14,180
3,0,45
3,1,30
3,2,15
3,3,0
3,4,15
3,5,30
3,6,45
3,7,60
3,8,75
3,9,90
3,10,105
3,11,120
3,12,135
3,13,150
3,14,165
4,0,60
4,1,45
4,2,30
4,3,15
4,4,0
4,5,15
4,6,30
4,7,45
4,8,60
4,9,75
4,10,90
4,11,105
4,12,120
4,13,135
4,14,150
5,0,75
5,1,60
5,2,45
5,3,30
5,4,15
5,5,0
5,6,15
5,7,30
5,8,45
5,9,60
5,10,75
5,11,90
5,12,105
5,13,120
5,14,135
6,0,90
6,1,75
6,2,60
6,3,45
6,4,30
6,5,15
6,6,0
6,7,15
6,8,30
6,9,45
6,10,60
6,11,75
6,12,90
6,13,105
6,14,120
7,0,105
7,1,90
7,2,75
7,3,60
7,4,45
7,5,30
7,6,15
7,7,0
7,8,15
7,9,30
7,10,45
7,11,60
7,12,75
7,13,90
7,14,105
8,0,120
8,1,105
8,2,90
8,3,75
8,4,60
8,5,45
8,6,30
8,7,15
8,8,0
8,9,15
8,10,30
8,11,45
8,12,60
8,13,75
8,14,90
9,0,135
9,1,120
9,2,105
9,3,90
9,4,75
9,5,60
9,6,45
9,7,30
9,8,15
9,9,0
9,10,15
9,11,30
9,12,45
9,13,60
9,14,75
10,0,150
10,1,135
10,2,120
10,3,105
10,4,90
10,5,75
10,6,60
10,7,45
10,8,30
10,9,15
10,10,0
10,11,15
10,12,30
10,13,45
10,14,60
11,0,165
11,1,150
11,2,135
11,3,120
11,4,105
11,5,90
11,6,75
11,7,60
11,8,45
11,9,30
11,10,15
11,11,0
11,12,15
11,13,30
11,14,45
12,0,180
12,1,165
12,2,150
12,3,135
12,4,120
12,5,105
12,6,90
12,7,75
12,8,60
12,9,45
12,10,30
12,11,15
12,12,0
12,13,15
12,14,30
13,0,195
13,1,180
13,2,165
13,3,150
13,4,135
13,5,120
13,6,105
13,7,90
13,8,75
13,9,60
13,10,45
13,11,30
13,12,15
13,13,0
13,14,15
14,0,210
14,1,195
14,2,180
14,3,165
14,4,150
14,5,135
14,6,120
14,7,105
14,8,90
14,9,75
14,10,60
14,11,45
14,12,30
14,13,15
14,14,0
